Site_Year,Plot ID,Treatment Unit,Easting,Northing, Cover (%),,,,,Tree Density (trees per acre),,,,,,Basal Area (ft2 per acre),,,,,,,,,,, Fuel Loading (tons per acre),,,,,,Fuel Height (in),,,,Distance to crown (ft) 
,,,,,TREE,SHRUB,HERB,CHEATGRASS,Total Exotic Grass,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,"Cedar, LIVE","Pinus spp, LIVE",Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,"Fine Fuels (1, 10, 100 hr)",1hr ,10hr,100hr,CWD,Total,Duff,Litter,Duff/Litter,Fuel ,
Laguna_2017,97,13,553272,3636468,42,4,2,0.5,0.5,140,30,20,0,770,0.00,20,11.27258988,20,60,50,48.85468147,110,91.01782684,30,139.8725083,140,2.309,0.104,0.784,1.421,4.174,6.483,0.66,0.64,1.30,1.75,11.74
Laguna_2017,98,13,553578,3636145,65,67,3,1,1,100,50,20,0,3430,0.00,20,24.1482907,40,160,15,4.558331549,175,201.2484662,100,205.8067978,275,3.500,0.219,1.574,1.707,0.000,3.500,0.49,1.23,1.72,4.78,9.86
Laguna_2017,99,13,553800,3635957,27,7,29,25,25,60,10,10,0,0,23.84,40,0,10,0,120,46.38224998,120,2.164423833,25,48.54667381,145,1.104,0.062,0.488,0.554,0.000,1.104,0.20,0.79,0.98,2.17,14.11
Laguna_2017,109,35 Control,554454,3634166,46.5,3,42,1,2,70,10,30,0,0,1.08,10,10.89660578,40,0,80,120.7673251,80,30.53875207,30,151.3060772,110,2.717,0.080,0.697,1.940,42.553,45.269,0.12,1.35,1.48,3.04,22.15
Laguna_2018,116,19,551235,3637230,37.5,0,11.5,6,8,190,0,60,0,0,0.50,0,54.45208442,50,0,180,174.5558784,180,0,10,174.5558784,190,3.089,0.018,0.565,2.506,18.349,21.438,1.08,1.53,2.61,2.79,21.57
Laguna_2018,117,19,551210,3636989,44.5,6,2,0,0.5,50,0,0,0,0,0.00,0,0,10,0,130,82.65452697,130,0,0,82.65452697,130,0.780,0.007,0.211,0.561,62.540,63.320,0.69,1.72,2.41,4.18,19.42
Laguna_2018,120,19,551483,3636939,50,16.5,4.5,0.5,3.5,10,140,20,560,420,0.00,0,14.28189993,20,0,40,9.488377527,40,61.10625039,50,70.59462792,90,3.830,0.011,0.770,3.050,21.763,25.593,0.84,1.33,2.17,2.64,5.29
Laguna_2018,121,19,551501,3637178,47.5,7,2.5,0,0,100,0,10,0,2100,0.00,0,18.28134935,50,0,150,87.01440368,150,0,40,87.01440368,190,2.616,0.079,0.855,1.682,38.468,41.085,0.64,1.70,2.34,3.88,24.08
Laguna_2018,122,19,551702,3637099,24.5,7,7,0,0,70,0,10,0,490,0.00,0,31.25428015,20,0,100,105.3127471,100,0,10,105.3127471,110,5.263,0.120,2.090,3.053,30.853,36.115,0.94,2.36,3.30,5.85,24.37
Laguna_2018,123,19,551824,3636738,68,26,4.5,0,0,270,10,20,0,210,0.00,0,57.86198198,20,0,170,183.3274266,170,21.818745,20,205.1461716,190,5.153,0.044,1.755,3.354,7.304,12.457,1.33,1.38,2.71,3.53,19.64
